Section Header,RMF Pillar,RMF Pillar Description,Suggested Action,Status,Trait,Focus Area,Sub Category
MEASURE 1.1,MEASURE ,Appropriate metrics are selected to evaluate AI system performance and risk.,Measure system behavior under expected and reasonably foreseeable conditions.,Keep,"Value-Driven, Reliability",Observability,Monitor and Action
MEASURE 1.2,MEASURE ,"AI system performance, reliability, and robustness are measured.","Measure AI system accuracy, reliability, robustness, and resilience over time.",Keep,"Reliability, Value-Driven",Observability,Evaluate and Measure 
MEASURE 1.4,MEASURE ,Explainability and transparency characteristics are evaluated.,"Measure explainability, interpretability, and transparency characteristics appropriate to system risk and audience.",Keep,"Transparent, Reliability",Observability,Evaluate and Measure 
MEASURE 1.6,MEASURE ,Security risks associated with the AI system are evaluated.,"Measure security risks, including susceptibility to adversarial attacks or model extraction.",Keep,"Secure, Reliability",Observability,Evaluate and Measure 
MEASURE 1.6,MEASURE ,Security risks associated with the AI system are evaluated.,Evaluate effectiveness of security controls and mitigations.,Keep,"Secure, Reliability, Value-Driven",Observability,Evaluate and Measure 
MANAGE 1.1,MANAGE ,AI risks are prioritized and addressed based on severity and likelihood.,"Prioritize and address identified AI risks based on severity, likelihood, and organizational risk tolerance.",Keep,"Transparent, Value-Driven",Observability,Monitor and Action
MANAGE 1.3,MANAGE ,Accountability for risk treatment actions is assigned and maintained.,Assign responsibility and accountability for implementing and maintaining risk controls.,Keep,"Reliability, Value-Driven, Transparent",Culture,Roles & Responsibility
MANAGE 2.1,MANAGE ,Risk treatment effectiveness is monitored and adjusted over time.,Monitor effectiveness of implemented risk controls over time.,Keep,"Reliability, Transparent, Value-Driven",Observability,Monitor and Action
GOVERN 1.2,GOVERN ,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.","Detail standards for experimental design, data quality, and model training.",Reword and consolidate similar items,"Value-Driven, Reliability",Governance,Standards and Policies 
DASF,DASF,SSO with IdP and MFA,"Implementing single sign-on with an identity provider’s (IdP) multifactor authentication is critical for secure authentication. It adds an extra layer of security, ensuring that only authorized users access the Databricks Platform.",Keep,"Secure, Transparent",Security,Access Control
DASF,DASF,Sync users and groups,Synchronizing users and groups enables inheritance of enterprise roles and supports role-based access control across data and AI assets.,Keep,"Secure, Transparent",Security,Access Control
DASF,DASF,Restrict access using IP access lists,"IP allow lists limit authentication to approved network ranges, reducing exposure to unauthorized access.",Keep,"Secure, Transparent",Platform,Resilience
DASF,DASF,Restrict access using private link,Private connectivity restricts inbound traffic to trusted network paths and avoids public internet exposure.,Keep,"Secure, Transparent",Security,Access Control
DASF,DASF,Control access to data and objects,"A centralized permissions model ensures consistent access control for data, metadata, and AI objects.",Keep,"Secure, Transparent",Security,Access Control
DASF,DASF,Classify data,Data classification enables governance controls by identifying sensitivity levels and applying appropriate protections.,Keep,"Secure, Transparent",Security,Data Classification and Controls
DASF,DASF,Tag and discover sensitive data,Automated discovery and tagging identify sensitive data to enforce governance and compliance requirements.,Keep,"Secure, Transparent",Security,Data Classification and Controls
DASF,DASF,Encrypt data at rest,Encryption at rest protects stored data from unauthorized access in the event of infrastructure compromise.,Keep,"Secure, Transparent",Security,Data Classification and Controls
DASF,DASF,Encrypt data in transit,Encryption in transit ensures confidentiality and integrity of data exchanged between services and users.,Keep,"Secure, Transparent",Security,Data Classification and Controls
DASF,DASF,Manage keys securely,"Centralized key management ensures secure creation, rotation, and revocation of encryption keys.",Keep,"Secure, Transparent",Security,Access Control
DASF,DASF,Validate data integrity,Integrity checks ensure ingested and processed data has not been altered maliciously or accidentally.,Keep,"Reliability, Transparent, Value-Driven",Observability,Evaluate and Measure 
DASF,DASF,Monitor data quality,Continuous data quality monitoring detects anomalies that could impact model performance or integrity.,Keep,"Reliability, Transparent, Value-Driven",Observability,Evaluate and Measure 
DASF,DASF,Monitor prompt and response logs,Logging prompts and outputs supports abuse detection and compliance.,Keep,"Safe, Secure",Observability,Define and Instrument 
DASF,DASF,Secure sharing of data and models,Controlled sharing prevents unintended exposure across teams or partners.,Keep,"Secure, Value-Driven",Platform,Integration and Collaboration 
DASF,DASF,Implement AI guardrails,"Guardrails enforce safety, moderation, and compliance controls on AI outputs.",Keep,"Secure, Transparent",Security,Guardrails
DASF,DASF,Use clean rooms,"Clean rooms enable secure, privacy-preserving collaboration without exposing raw data.",Keep,"Secure, Value-Driven",Platform,Integration and Collaboration 
DASF,DASF,Rate limit number of inference queries,"Enforce request-rate limits to manage traffic at the endpoint level on a per-user and per-
endpoint basis, effectively controlling access levels and volume. ",Keep,"Reliability, Value-Driven",Platform,Integration and Collaboration 
DASF,DASF,Implement network segmentation,"Establish network and security policies to define and enforce egress rules from models
and outbound network connections from your serverless compute resources.",Keep,Reliability,Platform,Resilience
Well Architected,Operational excellence,, Periodically evaluate functional performance,Keep,"Transparent, Value-Driven",Observability,Monitor and Action
Well Architected,Operational excellence,, Monitor all application layers,Keep,"Reliability, Transparent, Value-Driven",Observability,Define and Instrument 
Well Architected,Operational excellence,, Monitor foundation model metrics,Keep,"Reliability, Transparent, Value-Driven",Observability,Define and Instrument 
MANAGE 4.3,MANAGE ,AI risk management practices are continuously improved.,"Update controls, processes, and policies to reflect evolving risks and best practices.",Combine ,"Value-Driven, Reliability",Governance,Standards and Policies 
DASF,DASF,Govern prompt usage,Prompt governance reduces leakage of sensitive data and unsafe outputs.,Reword and consolidate similar items,"Transparent, Value-Driven, Secure",Governance,AI Risk Management
GOVERN 1.7,GOVERN ,Processes are in place for the safe and responsible decommissioning of AI systems.,Establish policies for safe and trustworthy decommissioning of AI systems.,Reword and consolidate similar items,"Transparent, Value-Driven, Safe",Governance,Standards and Policies 
GOVERN 1.2,GOVERN ,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.","Establish frequency and depth for monitoring, auditing, and review processes.",Combine ,"Transparent, Reliability",Observability,Define and Instrument 
GOVERN 1.2,GOVERN ,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.",Outline change-management requirements.,Combine ,"Transparent, Value-Driven",Culture,Active Awareness
GOVERN 1.2,GOVERN ,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.",Outline processes for internal and external stakeholder engagement.,Combine ,Transparent,Culture,Roles & Responsibility
GOVERN 1.2,GOVERN ,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.",Detail and test incident response plans.,Combine ,"Reliability, Transparent",Observability,Define and Instrument 
GOVERN 1.3,GOVERN ,"Processes and procedures are in place to identify, assess, and manage AI risks across the AI lifecycle.",Establish policies for measuring or understanding AI system impacts via regular impact assessments across the lifecycle.,Reword and consolidate similar items,"Transparent, Reliability, Value-Driven",Governance,Standards and Policies 
GOVERN 4.1,GOVERN ,"A culture of risk awareness, safety, and accountability for AI systems is promoted.","Establish policies that promote effective challenge of AI system design, implementation, and deployment decisions (e.g., three lines of defense, audits, red-teaming).",Keep,"Transparent, Value-Driven",Governance,Standards and Policies 
MANAGE 4.1,MANAGE ,Criteria and processes are established for limiting or decommissioning AI systems.,Execute decommissioning or rollback procedures safely and in a controlled manner.,Keep,"Transparent, Value-Driven",Governance,Change Management
GOVERN 1.5,GOVERN ,"Processes and procedures are in place for monitoring, incident response, and remediation related to AI systems.","Allocate appropriate resources to assess AI impacts on individuals, communities, and society.",Reword and consolidate similar items,"Transparent, Value-Driven",Culture,Roles & Responsibility
GOVERN 1.4,GOVERN ,Organizational policies and processes for documentation and transparency are established and maintained.,Document and review the efficacy of transparency tools and follow industry standards.,Reword and consolidate similar items,"Transparent, Value-Driven",Governance,Standards and Policies 
MANAGE 2.3,MANAGE ,"AI-related incidents are detected, reported, and responded to.","Coordinate incident response activities across technical, legal, compliance, and operational teams.",Reword and consolidate similar items,"Transparent, Value-Driven",Governance,Change Management
MANAGE 3.3,MANAGE ,Remediation actions are taken to address harmful AI outcomes.,"Provide remediation, recourse, or corrective actions for harmful or erroneous AI outcomes.",Reword and consolidate similar items,"Transparent, Value-Driven",Governance,AI Risk Management
GOVERN 1.6,GOVERN ,AI system inventories are maintained and regularly updated.,Define responsible individuals or teams for inventory maintenance.,Combine ,Transparent,Culture,Roles & Responsibility
DASF,DASF,Train users on AI/ML security,"Provide secure coding education and AI vulnerability awareness for model developers.
Training personnel who manage AI infrastructure on cybersecurity best practices is essential to prevent human errors that could lead to security breaches.",Reword and consolidate similar items,"Transparent, Value-Driven",Governance,AI Risk Management
GOVERN 1.6,GOVERN ,AI system inventories are maintained and regularly updated.,Establish policies for creating and maintaining AI system inventories.,Reword and consolidate similar items,"Transparent, Safe, Value-Driven",Governance,Artefact Inventory
GOVERN 1.2,GOVERN ,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.",Detail model testing and validation processes.,Combine ,"Transparent, Safe",Observability,Evaluate and Measure 
GOVERN 1.7,GOVERN ,Processes are in place for the safe and responsible decommissioning of AI systems.,Track accountability and downstream impacts of decommissioning decisions.,Reword and consolidate similar items,"Safe, Transparent",Platform,Resilience
GOVERN 2.1,GOVERN ,"Roles and responsibilities for AI risk management are clearly defined, assigned, and communicated.",Define AI risk management roles and responsibilities across all relevant functions.,Reword and consolidate similar items,"Transparent, Value-Driven, Reliability",Culture,Active Awareness
GOVERN 2.2,GOVERN ,"The organization ensures that personnel involved in AI activities have appropriate skills, training, and awareness.","Establish ongoing AI risk management education covering laws, impacts, policies, and trustworthy AI.",Reword and consolidate similar items,"Transparent, Value-Driven",Culture,Active Awareness
GOVERN 2.2,GOVERN ,"The organization ensures that personnel involved in AI activities have appropriate skills, training, and awareness.",Include change-management communication mechanisms in policies.,Reword and consolidate similar items,"Safe, Transparent",Culture,Active Awareness
GOVERN 2.2,GOVERN ,"The organization ensures that personnel involved in AI activities have appropriate skills, training, and awareness.",Define escalation paths for AI risk concerns.,Reword and consolidate similar items,"Transparent, Safe",Culture,Roles & Responsibility
GOVERN 6.1,GOVERN ,Lessons learned from AI system risks and incidents are documented and incorporated into governance practices.,"Establish policies and processes for documenting, tracking, and responding to AI-related risks, incidents, and lessons learned.",Reword and consolidate similar items,"Transparent, Safe",Governance,Standards and Policies 
GOVERN 2.3,GOVERN ,Organizational leadership demonstrates commitment and accountability for AI risk management.,Integrate harm-prevention mindset across the AI lifecycle.,Combine ,"Safe, Value-Driven",Culture,Purpose
GOVERN 2.3,GOVERN ,Organizational leadership demonstrates commitment and accountability for AI risk management.,"Delegate authority, resources, and accountability for AI risk management.",Combine ,Reliability,Culture,Roles & Responsibility
GOVERN 3.1,GOVERN ,"Workforce diversity, equity, inclusion, and accessibility are integrated into AI risk management practices.",Promote interdisciplinary and diverse hiring practices for AI teams.,Reword and consolidate similar items,"Safe, Transparent, Value-Driven",Culture,Active Awareness
GOVERN 3.1,GOVERN ,"Workforce diversity, equity, inclusion, and accessibility are integrated into AI risk management practices.",Facilitate inclusive policies and integration of new insights.,Combine ,Transparent,Culture,Active Awareness
GOVERN 3.2,GOVERN ,Human-AI interaction considerations are addressed to support appropriate oversight and use.,"Define and differentiate human roles in using, interacting with, and overseeing AI systems.",Reword and consolidate similar items,"Reliability, Safe, Transparent",Culture,Purpose
MEASURE 4.1,MEASURE ,Measurement results and methodologies are documented.,"Document measurement methodologies, results, and limitations.",Reword and consolidate similar items,"Transparent, Reliability, Value-Driven",Governance,Artefact Inventory
GOVERN 1.2,GOVERN ,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.",Connect AI governance to existing organizational governance and risk controls.,Combine ,"Transparent, Reliability",Culture,Purpose
GOVERN 3.2,GOVERN ,Human-AI interaction considerations are addressed to support appropriate oversight and use.,"Enhance explainability, transparency, and UX risk management for AI systems.",Reword and consolidate similar items,"Reliability, Safe",Culture,Purpose
GOVERN 5.1,GOVERN ,Risks associated with third-party or externally developed AI systems are identified and managed.,Establish policies to assess and manage risks associated with third-party or externally developed AI systems.,Reword and consolidate similar items,"Secure, Transparent",Governance,Standards and Policies 
GOVERN 4.2,GOVERN ,Impact assessments are conducted to evaluate AI system risks and potential harms.,Establish impact assessment policies and processes for AI systems used by the organization.,Reword and consolidate similar items,"Transparent, Safe",Observability,Define and Instrument 
GOVERN 4.2,GOVERN ,Impact assessments are conducted to evaluate AI system risks and potential harms.,Verify that impact assessments are appropriate for system risk and rate of change and are conducted regularly.,Reword and consolidate similar items,"Safe, Reliability, Transparent",Observability,Evaluate and Measure 
GOVERN 4.2,GOVERN ,Impact assessments are conducted to evaluate AI system risks and potential harms.,Use impact assessments to inform broader AI system risk evaluations.,Combine ,"Transparent, Value-Driven",Observability,Monitor and Action
GOVERN 4.3,GOVERN ,"AI system incidents are documented, analyzed, and addressed.",Commit organizationally to identifying AI system limitations and sharing insights within appropriate AI actor groups.,Combine ,"Reliability, Transparent, Value-Driven",Culture,Active Awareness
GOVERN 4.3,GOVERN ,"AI system incidents are documented, analyzed, and addressed.",Establish policies for reporting and documenting AI incident response.,Reword and consolidate similar items,Transparent,Observability,Define and Instrument 
GOVERN 4.3,GOVERN ,"AI system incidents are documented, analyzed, and addressed.",Establish guidelines for AI incident handling related to system risks and performance.,Reword and consolidate similar items,Transparent,Governance,Change Management
MAP 1.2,MAP ,The operational environment and deployment context of the AI system are understood.,"Define the operational context, deployment environment, and assumptions under which the AI system will be used.",Reword and consolidate similar items,"Safe, Value-Driven",Culture,Purpose
GOVERN 1.4,GOVERN ,Organizational policies and processes for documentation and transparency are established and maintained.,"Establish and regularly review standardized documentation policies covering AI system attributes, risks, data, methods, testing, deployment, and dependencies.",Reword and consolidate similar items,"Safe, Transparent",Governance,Change Management
GOVERN 1.6,GOVERN ,AI system inventories are maintained and regularly updated.,"Define required inventory attributes (documentation, source code, contacts, incident plans).",Reword and consolidate similar items,"Safe, Transparent",Governance,Artefact Inventory
GOVERN 2.3,GOVERN ,Organizational leadership demonstrates commitment and accountability for AI risk management.,Declare organizational AI risk tolerances.,Reword and consolidate similar items,"Safe, Transparent",Culture,Active Awareness
GOVERN 4.1,GOVERN ,"A culture of risk awareness, safety, and accountability for AI systems is promoted.",Establish policies that incentivize a safety-first mindset and critical thinking at organizational and procedural levels.,Reword and consolidate similar items,"Safe, Transparent",Governance,Standards and Policies 
GOVERN 6.2,GOVERN ,"AI governance processes are continuously improved based on monitoring, audits, and emerging best practices.","Establish mechanisms to continuously improve AI governance based on monitoring results, audits, and emerging best practices.",Reword and consolidate similar items,"Transparent, Reliability, Safe",Culture,Active Awareness
GOVERN 1.2,GOVERN ,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.",Align AI governance with broader data governance policies and organizational governance and risk controls,Keep,Safe,Culture,Active Awareness
MAP 1.1,MAP ,"The purpose, intended use, and context of the AI system are clearly defined.","Identify system users, impacted individuals, and communities affected by the AI system.",Reword and consolidate similar items,"Value-Driven, Safe",Culture,Purpose
GOVERN 1.3,GOVERN ,"Processes and procedures are in place to identify, assess, and manage AI risks across the AI lifecycle.",Define overall risk measurement approaches combining impact and likelihood.,Keep,"Reliability, Transparent",Observability,Define and Instrument 
,,AI system inventories are maintained and regularly updated.,Define responsible individuals or teams for inventory maintenance.,Combine ,"Reliability, Transparent",Culture,Roles & Responsibility
MAP 1.3,MAP ,"Potential impacts of the AI system on individuals, communities, and society are identified.","Consider impacts related to bias, discrimination, privacy, security, safety, and accessibility.",Reword and consolidate similar items,"Safe, Value-Driven",Culture,Active Awareness
GOVERN 3.2,GOVERN ,Human-AI interaction considerations are addressed to support appropriate oversight and use.,Capture and track risks related to human-AI configurations.,Reword and consolidate similar items,"Reliability, Safe, Transparent",Culture,Purpose
GOVERN 1.3,GOVERN ,"Processes and procedures are in place to identify, assess, and manage AI risks across the AI lifecycle.",Establish policies for measuring likelihood and magnitude of AI system impacts.,Combine ,"Transparent, Value-Driven",Governance,Standards and Policies 
GOVERN 1.4,GOVERN ,Organizational policies and processes for documentation and transparency are established and maintained.,Establish a model documentation inventory and regularly review its effectiveness.,Combine ,"Transparent, Value-Driven",Governance,Artefact Inventory
GOVERN 1.6,GOVERN ,AI system inventories are maintained and regularly updated.,"Define which systems are inventoried, prioritizing high-risk or high-stakes systems.",Combine ,"Transparent, Value-Driven",Governance,Artefact Inventory
MAP 1.6,MAP ,AI actors and their roles across the lifecycle are identified.,Identify AI actors involved across the lifecycle and clarify their roles and responsibilities.,Reword and consolidate similar items,"Value-Driven, Transparent",Culture,Roles & Responsibility
MAP 1.6,MAP ,AI actors and their roles across the lifecycle are identified.,Identify points in the lifecycle where human judgment or oversight is required.,Reword and consolidate similar items,"Reliability, Safe, Value-Driven",Observability,Define and Instrument 
GOVERN 3.2,GOVERN ,Human-AI interaction considerations are addressed to support appropriate oversight and use.,Establish proficiency standards and training protocols for AI actors.,Combine ,"Transparent, Value-Driven",Culture,Roles & Responsibility
MAP 2.1,MAP ,"Data sources, characteristics, and quality are understood.","Identify data quality issues, gaps, biases, and representativeness concerns.",Reword and consolidate similar items,"Reliability, Transparent",Observability,Define and Instrument 
MAP 2.1,MAP ,"Data sources, characteristics, and quality are understood.","Identify data governance, privacy, and security risks associated with the dataset.",Reword and consolidate similar items,"Secure, Safe, Transparent",Culture,Purpose
MAP 2.2,MAP ,Data processing and preparation methods are understood and documented.,"Identify how data is processed, transformed, labeled, or augmented.",Combine ,"Reliability, Transparent",Observability,Define and Instrument 
MAP 2.2,MAP ,Data processing and preparation methods are understood and documented.,"Identify risks introduced through preprocessing, feature engineering, or labeling choices.",Combine ,"Reliability, Transparent",Observability,Define and Instrument 
MAP 2.3,MAP ,"AI model characteristics, capabilities, and limitations are identified.","Identify the AI model type, algorithms, and learning approaches used.",Combine ,"Transparent, Value-Driven",Culture,Purpose
MAP 2.3,MAP ,"AI model characteristics, capabilities, and limitations are identified.",Identify known limitations or failure modes associated with chosen model types.,Combine ,TBD,Culture,Purpose
MAP 3.1,MAP ,"Metrics, benchmarks, and performance criteria are identified.",Identify appropriate benchmarks and baselines for evaluating system behavior.,Combine ,TBD,Observability,Evaluate and Measure 
MAP 3.2,MAP ,Testing strategies and evaluation approaches are identified.,Identify testing strategies for validating system performance across intended use cases.,Reword and consolidate similar items,"Reliability, Safe, Value-Driven",Observability,Define and Instrument 
MAP 3.3,MAP ,Potential system vulnerabilities and failure modes are identified.,"Identify potential system vulnerabilities, including security and adversarial risks.",Reword and consolidate similar items,"Safe, Secure, Value-Driven",Platform,Resilience
MAP 3.3,MAP ,Potential system vulnerabilities and failure modes are identified.,"Identify potential system drift, degradation, or distributional shift risks over time.",Reword and consolidate similar items,"Safe, Secure, Value-Driven",Platform,Resilience
GOVERN 5.1,GOVERN ,Risks associated with third-party or externally developed AI systems are identified and managed.,"Require documentation, transparency, and risk evaluation for third-party AI consistent with internal standards.",Combine ,TBD,Governance,Artefact Inventory
GOVERN 5.2,GOVERN ,Third-party AI systems are monitored and reviewed throughout their lifecycle.,"Establish processes to regularly review third-party AI system performance, risks, and compliance post-deployment.",Combine ,TBD,Governance,Standards and Policies 
MAP 4.2,MAP ,Communication needs for AI risks and limitations are identified.,Identify communication needs for internal and external stakeholders regarding AI risks and limitations.,Combine ,"Transparent, Value-Driven",Culture,Active Awareness
MEASURE 1.2,MEASURE ,"AI system performance, reliability, and robustness are measured.","Measure performance consistency across different sub-populations, contexts, or operating conditions.",Combine ,TBD,Observability,Evaluate and Measure 
MEASURE 1.3,MEASURE ,"Bias, fairness, and disparate impacts are evaluated.","Measure and evaluate bias, fairness, and disparate impacts using appropriate quantitative or qualitative methods.",Reword and consolidate similar items,"Reliability, Transparent, Value-Driven",Observability,Evaluate and Measure 
MEASURE 1.5,MEASURE ,Privacy risks associated with the AI system are evaluated.,"Measure privacy risks, including data leakage, re-identification, or unintended inference.",Reword and consolidate similar items,"Secure, Reliability",Observability,Evaluate and Measure 
MEASURE 2.1,MEASURE ,AI system behavior is evaluated using relevant datasets.,"Evaluate system performance and risk metrics using test, validation, and evaluation datasets.",Reword and consolidate similar items,"Reliability, Safe, Value-Driven",Observability,Evaluate and Measure 
MEASURE 2.1,MEASURE ,AI system behavior is evaluated using relevant datasets.,"Compare results across datasets to identify overfitting, underperformance, or distributional issues.",Combine ,TBD,Observability,Evaluate and Measure 
MEASURE 2.2,MEASURE ,AI system behavior under stress or edge conditions is evaluated.,"Evaluate AI system behavior in edge cases, stress scenarios, or worst-case conditions.",Combine ,TBD,Observability,Evaluate and Measure 
MEASURE 2.3,MEASURE ,Human-AI interaction outcomes are evaluated.,"Evaluate human-AI interaction outcomes, including automation bias, over-reliance, and usability issues.",Reword and consolidate similar items,"Reliability, Value-Driven",Observability,Evaluate and Measure 
MEASURE 3.1,MEASURE ,AI system performance and risks are monitored over time.,Monitor AI system performance and risk metrics post-deployment.,Reword and consolidate similar items,"Value-Driven, Reliability",Observability,Monitor and Action
MEASURE 3.1,MEASURE ,AI system performance and risks are monitored over time.,"Detect model drift, data drift, or performance degradation over time.",Combine ,TBD,Observability,Monitor and Action
MEASURE 3.2,MEASURE ,Risks are reassessed as conditions and contexts change.,"Periodically reassess risks as context, data, or use patterns change.",Combine ,"Reliability, Transparent",Culture,Active Awareness
MEASURE 3.2,MEASURE ,Risks are reassessed as conditions and contexts change.,Update measurements to reflect changes in operating environment or stakeholder expectations.,Combine ,TBD,Observability,Define and Instrument 
MEASURE 3.3,MEASURE ,Effectiveness of risk controls is evaluated.,Measure effectiveness of risk controls and mitigation strategies.,Combine ,TBD,Observability,Evaluate and Measure 
GOVERN 5.2,GOVERN ,Third-party AI systems are monitored and reviewed throughout their lifecycle.,Define escalation and remediation processes for third-party AI risk issues.,Combine ,TBD,Governance,Change Management
MEASURE 4.1,MEASURE ,Measurement results and methodologies are documented.,"Ensure measurement results are traceable, reproducible, and auditable.",Reword and consolidate similar items,"Transparent, Value-Driven",Observability,Evaluate and Measure 
MEASURE 4.2,MEASURE ,Measurement results are communicated to relevant stakeholders.,Communicate measurement results to relevant internal stakeholders and decision-makers.,Reword and consolidate similar items,"Transparent, Value-Driven",Observability,Monitor and Action
GOVERN 6.2,GOVERN ,"AI governance processes are continuously improved based on monitoring, audits, and emerging best practices.","Update policies, procedures, and controls to reflect changes in technology, risk environment, and regulatory expectations.",Combine ,TBD,Governance,Standards and Policies 
MAP 1.2,MAP ,The operational environment and deployment context of the AI system are understood.,"Identify dependencies on data, infrastructure, and upstream or downstream systems.",Combine ,TBD,Governance,Artefact Inventory
MAP 1.4,MAP ,"System requirements, constraints, assumptions, and limitations are identified.",Identify assumptions and limitations inherent in the AI system design.,Combine ,TBD,Culture,Purpose
MANAGE 2.2,MANAGE ,Changes to AI systems are managed to ensure continued risk control.,"Implement change-management processes for AI system updates, retraining, or reconfiguration.",Reword and consolidate similar items,"Transparent, Value-Driven",Culture,Active Awareness
MAP 1.5,MAP ,"Applicable legal, regulatory, and policy requirements are identified.","Identify relevant legal, regulatory, and policy requirements applicable to the AI system.",Combine ,TBD,Governance,Standards and Policies 
MAP 1.5,MAP ,"Applicable legal, regulatory, and policy requirements are identified.",Identify applicable organizational policies and risk tolerance thresholds.,Combine ,TBD,Governance,Standards and Policies 
MANAGE 3.1,MANAGE ,Stakeholders are engaged when managing AI system risks.,Engage affected stakeholders when managing or remediating AI system risks.,Reword and consolidate similar items,"Transparent, Value-Driven",Culture,Active Awareness
MAP 2.1,MAP ,"Data sources, characteristics, and quality are understood.","Identify and document data sources, origins, and methods of data collection.",Combine ,TBD,Governance,Artefact Inventory
MAP 4.1,MAP ,"Governance, accountability, and documentation needs are identified.",Identify gaps in governance or documentation relative to organizational standards.,Combine ,TBD,Governance,Artefact Inventory
MANAGE 1.1,MANAGE ,AI risks are prioritized and addressed based on severity and likelihood.,"Select and implement risk treatment strategies (e.g., mitigate, transfer, avoid, accept).",Combine ,TBD,Culture,Purpose
